#,,,,,,,,,"generated_by='OpenQuake engine 3.10.0-git811058fcf4', start_date='2020-07-22T04:20:22', checksum=2291992654, investigation_time=50.0, ses_per_logic_tree_path=100000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
0,6,6.550000E+00,1.220678E+00,-4.923576E-01,1.100000E+01,Active Shallow Crust,3.865931E+01,3.058769E+01,9.000000E+01
1,7,6.550000E+00,1.231915E+00,-4.783127E-01,1.100000E+01,Active Shallow Crust,3.865929E+01,3.058823E+01,9.000000E+01
2,6,6.550000E+00,1.243151E+00,-4.642677E-01,1.100000E+01,Active Shallow Crust,3.865923E+01,3.058855E+01,9.000000E+01
3,7,6.550000E+00,1.254387E+00,-4.502228E-01,1.100000E+01,Active Shallow Crust,3.865916E+01,3.058888E+01,9.000000E+01
4,7,6.550000E+00,1.265623E+00,-4.361778E-01,1.100000E+01,Active Shallow Crust,3.865916E+01,3.059064E+01,9.000000E+01
5,4,6.550000E+00,1.276859E+00,-4.221328E-01,1.100000E+01,Active Shallow Crust,3.865909E+01,3.059139E+01,9.000000E+01
6,13,6.550000E+00,1.288094E+00,-4.080877E-01,1.100000E+01,Active Shallow Crust,3.865902E+01,3.059070E+01,9.000000E+01
7,4,6.550000E+00,1.299330E+00,-3.940427E-01,1.100000E+01,Active Shallow Crust,3.865901E+01,3.059145E+01,9.000000E+01
8,6,6.550000E+00,1.310566E+00,-3.799976E-01,1.100000E+01,Active Shallow Crust,3.865894E+01,3.059324E+01,9.000000E+01
9,5,6.550000E+00,1.321802E+00,-3.659526E-01,1.100000E+01,Active Shallow Crust,3.865892E+01,3.059442E+01,9.000000E+01
10,7,6.550000E+00,1.333038E+00,-3.519075E-01,1.100000E+01,Active Shallow Crust,3.865892E+01,3.059476E+01,9.000000E+01
11,7,6.550000E+00,1.344274E+00,-3.378624E-01,1.100000E+01,Active Shallow Crust,3.865885E+01,3.059510E+01,9.000000E+01
12,7,6.550000E+00,1.355510E+00,-3.238173E-01,1.100000E+01,Active Shallow Crust,3.865885E+01,3.059570E+01,9.000000E+01
13,4,6.550000E+00,1.366745E+00,-3.097723E-01,1.100000E+01,Active Shallow Crust,3.865883E+01,3.059667E+01,9.000000E+01
14,6,6.550000E+00,1.377981E+00,-2.957272E-01,1.100000E+01,Active Shallow Crust,3.865882E+01,3.059788E+01,9.000000E+01
15,12,6.550000E+00,1.389217E+00,-2.816820E-01,1.100000E+01,Active Shallow Crust,3.865882E+01,3.059867E+01,9.000000E+01
16,4,6.550000E+00,1.400453E+00,-2.676369E-01,1.100000E+01,Active Shallow Crust,3.865879E+01,3.059802E+01,9.000000E+01
17,6,6.550000E+00,1.411688E+00,-2.535918E-01,1.100000E+01,Active Shallow Crust,3.865876E+01,3.059840E+01,9.000000E+01
